model,sample_id,level,sigma,token_flip_frac
vqgan,n01580077/ILSVRC2012_val_00000880,mid,0.2,0.82421875
vqgan,n01580077/ILSVRC2012_val_00000880,high,0.5,0.953125
vqgan,n01580077/ILSVRC2012_val_00006851,low,0.1,0.875
vqgan,n01580077/ILSVRC2012_val_00006851,mid,0.2,0.95703125
vqgan,n01580077/ILSVRC2012_val_00006851,high,0.5,0.99609375
vqgan,n01580077/ILSVRC2012_val_00017024,low,0.1,0.828125
vqgan,n01580077/ILSVRC2012_val_00017024,mid,0.2,0.921875
vqgan,n01580077/ILSVRC2012_val_00017024,high,0.5,0.9921875
vqgan,n01580077/ILSVRC2012_val_00023945,low,0.1,0.66015625
vqgan,n01580077/ILSVRC2012_val_00023945,mid,0.2,0.8359375
vqgan,n01580077/ILSVRC2012_val_00023945,high,0.5,0.953125
vqgan,n01580077/ILSVRC2012_val_00032586,low,0.1,0.8515625
vqgan,n01580077/ILSVRC2012_val_00032586,mid,0.2,0.92578125
vqgan,n01580077/ILSVRC2012_val_00032586,high,0.5,0.98046875
vqgan,n01580077/ILSVRC2012_val_00037939,low,0.1,0.82421875
vqgan,n01580077/ILSVRC2012_val_00037939,mid,0.2,0.93359375
vqgan,n01580077/ILSVRC2012_val_00037939,high,0.5,0.984375
vqgan,n01580077/ILSVRC2012_val_00048360,low,0.1,0.81640625
vqgan,n01580077/ILSVRC2012_val_00048360,mid,0.2,0.8984375
vqgan,n01580077/ILSVRC2012_val_00048360,high,0.5,0.9921875
vqgan,n01582220/ILSVRC2012_val_00008512,low,0.1,0.7109375
vqgan,n01582220/ILSVRC2012_val_00008512,mid,0.2,0.87109375
vqgan,n01582220/ILSVRC2012_val_00008512,high,0.5,0.9765625
vqgan,n01582220/ILSVRC2012_val_00018250,low,0.1,0.59375
vqgan,n01582220/ILSVRC2012_val_00018250,mid,0.2,0.8046875
vqgan,n01582220/ILSVRC2012_val_00018250,high,0.5,0.94921875
vqgan,n01582220/ILSVRC2012_val_00030017,low,0.1,0.4453125
vqgan,n01582220/ILSVRC2012_val_00030017,mid,0.2,0.66015625
vqgan,n01582220/ILSVRC2012_val_00030017,high,0.5,0.94140625
vqgan,n01582220/ILSVRC2012_val_00034437,low,0.1,0.69921875
vqgan,n01582220/ILSVRC2012_val_00034437,mid,0.2,0.83984375
vqgan,n01582220/ILSVRC2012_val_00034437,high,0.5,0.96484375
vqgan,n01582220/ILSVRC2012_val_00039219,low,0.1,0.6796875
vqgan,n01582220/ILSVRC2012_val_00039219,mid,0.2,0.80859375
vqgan,n01582220/ILSVRC2012_val_00039219,high,0.5,0.9609375
vqgan,n01582220/ILSVRC2012_val_00041206,low,0.1,0.640625
vqgan,n01582220/ILSVRC2012_val_00041206,mid,0.2,0.8046875
vqgan,n01582220/ILSVRC2012_val_00041206,high,0.5,0.94140625
vqgan,n01592084/ILSVRC2012_val_00010128,low,0.1,0.78125
vqgan,n01592084/ILSVRC2012_val_00010128,mid,0.2,0.921875
vqgan,n01592084/ILSVRC2012_val_00010128,high,0.5,0.9765625
vqgan,n01592084/ILSVRC2012_val_00018167,low,0.1,0.82421875
vqgan,n01592084/ILSVRC2012_val_00018167,mid,0.2,0.890625
vqgan,n01592084/ILSVRC2012_val_00018167,high,0.5,0.98046875
vqgan,n01592084/ILSVRC2012_val_00032102,low,0.1,0.75390625
vqgan,n01592084/ILSVRC2012_val_00032102,mid,0.2,0.8984375
vqgan,n01592084/ILSVRC2012_val_00032102,high,0.5,0.9765625
vqgan,n01592084/ILSVRC2012_val_00036534,low,0.1,0.8515625
vqgan,n01592084/ILSVRC2012_val_00036534,mid,0.2,0.93359375
vqgan,n01592084/ILSVRC2012_val_00036534,high,0.5,0.984375
vqgan,n01592084/ILSVRC2012_val_00039466,low,0.1,0.80078125
vqgan,n01592084/ILSVRC2012_val_00039466,mid,0.2,0.9296875
vqgan,n01592084/ILSVRC2012_val_00039466,high,0.5,0.984375
vqgan,n01592084/ILSVRC2012_val_00046422,low,0.1,0.8359375
